1715353443.874458 server started (3146062): version 2.6, socket /tmp/tmux-1000/default, protocol 8
1715353443.874506 on Linux 5.4.0-155-generic #172-Ubuntu SMP Fri Jul 7 16:10:02 UTC 2023; libevent 2.1.8-stable (poll)
1715353443.875301 add peer 0x564c020cf680: 8 (0x564c020cee30)
1715353443.875313 new client 0x564c020cee30
1715353443.875356 loading /etc/tmux.conf
1715353443.875426 loading /home/irteam/.tmux.conf
1715353443.875447 server loop enter
1715353443.875593 peer 0x564c020cf680 message 100
1715353443.875597 client 0x564c020cee30 IDENTIFY_FLAGS 0x10000
1715353443.875602 peer 0x564c020cf680 message 101
1715353443.875605 client 0x564c020cee30 IDENTIFY_TERM xterm-256color
1715353443.875608 peer 0x564c020cf680 message 102
1715353443.875611 client 0x564c020cee30 IDENTIFY_TTYNAME /dev/pts/25
1715353443.875614 peer 0x564c020cf680 message 108
1715353443.875623 client 0x564c020cee30 IDENTIFY_CWD /home/irteam/rkdtjdals97-dcloud-dir/MBC
1715353443.875626 peer 0x564c020cf680 message 104
1715353443.875628 client 0x564c020cee30 IDENTIFY_STDIN 6
1715353443.875632 cmdq_next <global>: enter
1715353443.875636 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.894193 notify_callback: window-linked
1715353443.894196 session_remove_ref: 0 notify_callback, now 7
1715353443.894199 window_remove_ref: @0 notify_callback, now 1
1715353443.894201 session_remove_ref: 0 notify_callback, now 6
1715353443.894204 cmdq_next <global>: callback[notify_callback] (1), flags 0
1715353443.894207 notify_callback: session-window-changed
1715353443.894210 session_remove_ref: 0 notify_callback, now 5
1715353443.894213 session_remove_ref: 0 notify_callback, now 4
1715353443.894216 cmdq_next <global>: callback[notify_callback] (1), flags 0
1715353443.894219 notify_callback: session-created
1715353443.894223 session_remove_ref: 0 notify_callback, now 3
1715353443.894225 session_remove_ref: 0 notify_callback, now 2
1715353443.894228 cmdq_next <global>: callback[notify_callback] (1), flags 0
1715353443.894230 notify_callback: client-session-changed
1715353443.894234 unref client 0x564c020cee30 (2 references)
1715353443.894236 session_remove_ref: 0 notify_callback, now 1
1715353443.894239 cmdq_next <global>: exit (empty)
1715353443.894242 cmdq_next <0x564c020cee30>: empty
1715353443.894245 cmdq_next <global>: empty
1715353443.894247 cmdq_next <0x564c020cee30>: empty
1715353443.894250 /dev/pts/25: redraw deferred (148 left)
1715353443.894253 redraw timer started
1715353443.894261 /dev/pts/25: \033[1;1H
1715353443.894265 @0 active pane not changed
1715353443.894283 /dev/pts/25: wrote 154 bytes (of 154)
1715353443.894302 server_signal: Child exited
1715353443.894306 cmdq_next <global>: empty
1715353443.894308 cmdq_next <0x564c020cee30>: empty
1715353443.894311 /dev/pts/25: redraw needed
1715353443.894317 screen_write_start: size 251x1, no pane
1715353443.894344 screen_write_collect_flush: flushed 0 items (0 bytes)
1715353443.894347 screen_write_stop: 251 cells (251 written, 0 skipped)
1715353443.894422 format '[#S] ' -> '[0] '
1715353443.895057 unref client 0x564c020cee30 (2 references)
1715353443.895111 format ' "#{=21:pane_title}" 15:04 10-May-24' -> ' "4f8a8e02f8db" 15:04 10-May-24'
1715353443.895121 unref client 0x564c020cee30 (2 references)
1715353443.895165 format '#{window_flags}' -> '*'
1715353443.895169 format '#I:#W#{?window_flags,#{window_flags}, }' -> '0:bash*'
1715353443.895178 unref client 0x564c020cee30 (2 references)
1715353443.895183 screen_write_start: size 8x1, no pane
1715353443.895188 screen_write_collect_flush: flushed 0 items (0 bytes)
1715353443.895191 screen_write_stop: 8 cells (8 written, 0 skipped)
1715353443.895194 screen_write_start: size 251x1, no pane
1715353443.895200 screen_write_collect_flush: flushed 0 items (0 bytes)
1715353443.895203 screen_write_stop: 43 cells (38 written, 5 skipped)
1715353443.895206 /dev/pts/25: \033[?25l
1715353443.895277 tty_clear_line: 251 at 0,0
1715353443.895280 /dev/pts/25: \033[K
1715353443.895283 tty_clear_line: 251 at 0,1
1715353443.895286 /dev/pts/25: \r
1715353443.895288 /dev/pts/25: \n
1715353443.895290 /dev/pts/25: \033[K
1715353443.895293 tty_clear_line: 251 at 0,2
1715353443.895295 /dev/pts/25: \r
1715353443.895298 /dev/pts/25: \n
1715353443.895300 /dev/pts/25: \033[K
1715353443.895303 tty_clear_line: 251 at 0,3
1715353443.895305 /dev/pts/25: \r
1715353443.895307 /dev/pts/25: \n
1715353443.895309 /dev/pts/25: \033[K
1715353443.895312 tty_clear_line: 251 at 0,4
1715353443.895314 /dev/pts/25: \r
1715353443.895317 /dev/pts/25: \n
1715353443.895319 /dev/pts/25: \033[K
1715353443.895322 tty_clear_line: 251 at 0,5
1715353443.895324 /dev/pts/25: \r
1715353443.895326 /dev/pts/25: \n
1715353443.895328 /dev/pts/25: \033[K
1715353443.895331 tty_clear_line: 251 at 0,6
1715353443.895333 /dev/pts/25: \r
1715353443.895336 /dev/pts/25: \n
1715353443.895338 /dev/pts/25: \033[K
1715353443.895341 tty_clear_line: 251 at 0,7
1715353443.895343 /dev/pts/25: \r
1715353443.895345 /dev/pts/25: \n
1715353443.895347 /dev/pts/25: \033[K
1715353443.895353 tty_clear_line: 251 at 0,8
1715353443.895355 /dev/pts/25: \r
1715353443.895358 /dev/pts/25: \n
1715353443.895360 /dev/pts/25: \033[K
1715353443.895363 tty_clear_line: 251 at 0,9
1715353443.895365 /dev/pts/25: \r
1715353443.895368 /dev/pts/25: \n
1715353443.895370 /dev/pts/25: \033[K
1715353443.895372 tty_clear_line: 251 at 0,10
1715353443.895375 /dev/pts/25: \r
1715353443.895377 /dev/pts/25: \n
1715353443.895379 /dev/pts/25: \033[K
1715353443.895382 tty_clear_line: 251 at 0,11
1715353443.895384 /dev/pts/25: \r
1715353443.895386 /dev/pts/25: \n
1715353443.895389 /dev/pts/25: \033[K
1715353443.895391 tty_clear_line: 251 at 0,12
1715353443.895393 /dev/pts/25: \r
1715353443.895396 /dev/pts/25: \n
1715353443.895398 /dev/pts/25: \033[K
1715353443.895401 tty_clear_line: 251 at 0,13
1715353443.895403 /dev/pts/25: \r
1715353443.895405 /dev/pts/25: \n
1715353443.895408 /dev/pts/25: \033[K
1715353443.895410 tty_clear_line: 251 at 0,14
1715353443.895412 /dev/pts/25: \r
1715353443.895415 /dev/pts/25: \n
1715353443.895417 /dev/pts/25: \033[K
1715353443.895420 tty_clear_line: 251 at 0,15
1715353443.895422 /dev/pts/25: \r
1715353443.895424 /dev/pts/25: \n
1715353443.895427 /dev/pts/25: \033[K
1715353443.895429 tty_clear_line: 251 at 0,16
1715353443.895431 /dev/pts/25: \r
1715353443.895434 /dev/pts/25: \n
1715353443.895436 /dev/pts/25: \033[K
1715353443.895439 tty_clear_line: 251 at 0,17
1715353443.895441 /dev/pts/25: \r
1715353443.895443 /dev/pts/25: \n
1715353443.895446 /dev/pts/25: \033[K
1715353443.895448 tty_clear_line: 251 at 0,18
1715353443.895450 /dev/pts/25: \r
1715353443.895453 /dev/pts/25: \n
1715353443.895455 /dev/pts/25: \033[K
1715353443.895458 tty_clear_line: 251 at 0,19
1715353443.895460 /dev/pts/25: \r
1715353443.895462 /dev/pts/25: \n
1715353443.895465 /dev/pts/25: \033[K
1715353443.895467 tty_clear_line: 251 at 0,20
1715353443.895469 /dev/pts/25: \r
1715353443.895472 /dev/pts/25: \n
1715353443.895474 /dev/pts/25: \033[K
1715353443.895477 /dev/pts/25: \r
1715353443.895479 /dev/pts/25: \n
1715353443.895488 /dev/pts/25: \033[30m
1715353443.895492 /dev/pts/25: \033[42m
1715353443.895509 /dev/pts/25: [0] 0:bash*                                                                                                                                                                                                                  "4f8a8e02f8db" 15:04 10-May-24
1715353443.895513 /dev/pts/25: \033(B\033[m
1715353443.895516 /dev/pts/25: redraw added 378 bytes
1715353443.895520 /dev/pts/25: \033[1;1H
1715353443.895523 /dev/pts/25: \033[?12l\033[?25h
1715353443.895526 @0 active pane not changed
1715353443.895536 %0 has 9 bytes
1715353443.895541 @0 alerts timer reset 0
1715353443.896176 screen_write_start: size 251x21, pane %0
1715353443.896181 input_parse: %0 ground, 9 bytes: \033[1;31m\r\n
1715353443.896187 input_csi_dispatch: 'm' "" "1;31"
1715353443.896191 input_c0_dispatch: '\r'
1715353443.896194 input_c0_dispatch: '\n'
1715353443.896197 screen_write_linefeed: at 0,0 (region 0-20)
1715353443.896201 screen_write_collect_flush: flushed 0 items (0 bytes)
1715353443.896204 screen_write_stop: 0 cells (0 written, 0 skipped)
1715353443.896211 /dev/pts/25: wrote 396 bytes (of 396)
1715353443.896214 /dev/pts/25: waiting for redraw, 0 bytes left
1715353443.896255 peer 0x564c020cf680 message 208
1715353443.896259 tty_resize: /dev/pts/25 now 251x22
1715353443.896262 /dev/pts/25: \033(B\033[m
1715353443.896265 /dev/pts/25: \033[?12;25h
1715353443.896268 /dev/pts/25: \033[?12l\033[?25h
1715353443.896270 /dev/pts/25: \033[?1003l
1715353443.896272 /dev/pts/25: \033[?1006l
1715353443.896275 /dev/pts/25: \033[?2004l
1715353443.896278 /dev/pts/25: \033[1;1H
1715353443.896281 /dev/pts/25: \033[1;22r
1715353443.896285 cmd_find_from_session: s=$0
1715353443.896288 cmd_find_from_session: wl=0 1 w=@0 bash
1715353443.896291 cmd_find_from_session: wp=%0
1715353443.896293 cmd_find_from_session: idx=none
1715353443.896296 session_add_ref: 0 notify_add, now 2
1715353443.896300 cmdq_next <global>: enter
1715353443.896304 cmdq_next <global>: callback[notify_callback] (1), flags 0
1715353443.896310 notify_callback: client-resized
1715353443.896313 unref client 0x564c020cee30 (2 references)
1715353443.896316 session_remove_ref: 0 notify_callback, now 1
1715353443.896319 cmdq_next <global>: exit (empty)
1715353443.896322 cmdq_next <0x564c020cee30>: empty
1715353443.896324 cmdq_next <global>: empty
1715353443.896327 cmdq_next <0x564c020cee30>: empty
1715353443.896330 /dev/pts/25: redraw deferred (64 left)
1715353443.896334 /dev/pts/25: \033[2;1H
1715353443.896337 @0 active pane changed
1715353443.896390 format '#{pane_current_command}' -> 'bash'
1715353443.896396 format '' -> ''
1715353443.896399 format '#{?pane_in_mode,[tmux],#{pane_current_command}}#{?pane_dead,[dead],}' -> 'bash'
1715353443.896407 @0 name not changed (still bash)
1715353443.896415 %0 has 369 bytes
1715353443.896419 @0 alerts timer reset 0
1715353443.896423 screen_write_start: size 251x21, pane %0
1715353443.896438 input_parse: %0 ground, 369 bytes: ________                               _______________                \r\n___  __/__________________________________  ____/__  /________      __\r\n__  /  _  _ \\_  __ \\_  ___/  __ \\_  ___/_  /_   __  /_  __ \\_ | /| / /\r\n_  /   /  __/  / / /(__  )/ /_/ /  /   _  __/   _  / / /_/ /_ |/ |/ / \r\n/_/    \\___//_/ /_//____/ \\____//_/    /_/      /_/  \\____/____/|__/\r\n\r\n\033[0;33m\r\n
1715353443.896444 screen_write_collect_end: 70 ________                               _______________                 (at 0,1)
1715353443.896448 input_c0_dispatch: '\r'
1715353443.896451 input_c0_dispatch: '\n'
1715353443.896454 screen_write_linefeed: at 0,1 (region 0-20)
1715353443.896459 screen_write_collect_end: 70 ___  __/__________________________________  ____/__  /________      __ (at 0,2)
1715353443.896463 input_c0_dispatch: '\r'
1715353443.896465 input_c0_dispatch: '\n'
1715353443.896468 screen_write_linefeed: at 0,2 (region 0-20)
1715353443.896478 screen_write_collect_end: 70 __  /  _  _ \\_  __ \\_  ___/  __ \\_  ___/_  /_   __  /_  __ \\_ | /| / / (at 0,3)
1715353443.896482 input_c0_dispatch: '\r'
1715353443.896485 input_c0_dispatch: '\n'
1715353443.896488 screen_write_linefeed: at 0,3 (region 0-20)
1715353443.896493 screen_write_collect_end: 70 _  /   /  __/  / / /(__  )/ /_/ /  /   _  __/   _  / / /_/ /_ |/ |/ /  (at 0,4)
1715353443.896497 input_c0_dispatch: '\r'
1715353443.896499 input_c0_dispatch: '\n'
1715353443.896502 screen_write_linefeed: at 0,4 (region 0-20)
1715353443.896507 screen_write_collect_end: 68 /_/    \\___//_/ /_//____/ \\____//_/    /_/      /_/  \\____/____/|__/ (at 0,5)
1715353443.896511 input_c0_dispatch: '\r'
1715353443.896513 input_c0_dispatch: '\n'
1715353443.896516 screen_write_linefeed: at 0,5 (region 0-20)
1715353443.896518 input_c0_dispatch: '\r'
1715353443.896521 input_c0_dispatch: '\n'
1715353443.896523 screen_write_linefeed: at 0,6 (region 0-20)
1715353443.896527 input_csi_dispatch: 'm' "" "0;33"
1715353443.896530 input_c0_dispatch: '\r'
1715353443.896533 input_c0_dispatch: '\n'
1715353443.896535 screen_write_linefeed: at 0,7 (region 0-20)
1715353443.896539 screen_write_collect_flush: flushed 5 items (348 bytes)
1715353443.896542 screen_write_stop: 348 cells (348 written, 0 skipped)
1715353443.896549 /dev/pts/25: wrote 70 bytes (of 70)
1715353443.896552 redraw timer fired
1715353443.896555 cmdq_next <global>: empty
1715353443.896558 cmdq_next <0x564c020cee30>: empty
1715353443.896560 /dev/pts/25: redraw needed
1715353443.896565 screen_write_start: size 251x1, no pane
1715353443.896581 screen_write_collect_flush: flushed 0 items (0 bytes)
1715353443.896584 screen_write_stop: 251 cells (251 written, 0 skipped)
1715353443.896635 format '[#S] ' -> '[0] '
1715353443.897320 unref client 0x564c020cee30 (2 references)
1715353443.897372 format ' "#{=21:pane_title}" 15:04 10-May-24' -> ' "4f8a8e02f8db" 15:04 10-May-24'
1715353443.897382 unref client 0x564c020cee30 (2 references)
1715353443.897424 format '#{window_flags}' -> '*'
1715353443.897428 format '#I:#W#{?window_flags,#{window_flags}, }' -> '0:bash*'
1715353443.897436 unref client 0x564c020cee30 (2 references)
1715353443.897444 screen_write_start: size 8x1, no pane
1715353443.897448 screen_write_collect_flush: flushed 0 items (0 bytes)
1715353443.897451 screen_write_stop: 8 cells (8 written, 0 skipped)
1715353443.897454 screen_write_start: size 251x1, no pane
1715353443.897460 screen_write_collect_flush: flushed 0 items (0 bytes)
1715353443.897463 screen_write_stop: 43 cells (38 written, 5 skipped)
1715353443.897471 /dev/pts/25: \033[?25l
1715353443.897540 tty_clear_line: 251 at 0,0
1715353443.897544 /dev/pts/25: \033[H
1715353443.897546 /dev/pts/25: \033[K
1715353443.897549 /dev/pts/25: \r
1715353443.897551 /dev/pts/25: \n
1715353443.897557 /dev/pts/25: \033[31m
1715353443.897560 /dev/pts/25: \033[1m
1715353443.897563 /dev/pts/25: ________                               _______________                
1715353443.897567 tty_draw_line: trimmed 55 spaces
1715353443.897570 /dev/pts/25: \033(B\033[m
1715353443.897573 tty_clear_line: 181 at 70,1
1715353443.897575 /dev/pts/25: \033[K
1715353443.897578 /dev/pts/25: \r
1715353443.897580 /dev/pts/25: \n
1715353443.897584 /dev/pts/25: \033[31m
1715353443.897587 /dev/pts/25: \033[1m
1715353443.897590 /dev/pts/25: ___  __/__________________________________  ____/__  /________      __
1715353443.897594 tty_draw_line: trimmed 55 spaces
1715353443.897596 /dev/pts/25: \033(B\033[m
1715353443.897599 tty_clear_line: 181 at 70,2
1715353443.897602 /dev/pts/25: \033[K
1715353443.897604 /dev/pts/25: \r
1715353443.897606 /dev/pts/25: \n
1715353443.897610 /dev/pts/25: \033[31m
1715353443.897613 /dev/pts/25: \033[1m
1715353443.897616 /dev/pts/25: __  /  _  _ \\_  __ \\_  ___/  __ \\_  ___/_  /_   __  /_  __ \\_ | /| / /
1715353443.897620 tty_draw_line: trimmed 55 spaces
1715353443.897622 /dev/pts/25: \033(B\033[m
1715353443.897625 tty_clear_line: 181 at 70,3
1715353443.897627 /dev/pts/25: \033[K
1715353443.897629 /dev/pts/25: \r
1715353443.897632 /dev/pts/25: \n
1715353443.897636 /dev/pts/25: \033[31m
1715353443.897638 /dev/pts/25: \033[1m
1715353443.897642 /dev/pts/25: _  /   /  __/  / / /(__  )/ /_/ /  /   _  __/   _  / / /_/ /_ |/ |/ / 
1715353443.897646 tty_draw_line: trimmed 55 spaces
1715353443.897648 /dev/pts/25: \033(B\033[m
1715353443.897651 tty_clear_line: 181 at 70,4
1715353443.897653 /dev/pts/25: \033[K
1715353443.897655 /dev/pts/25: \r
1715353443.897657 /dev/pts/25: \n
1715353443.897662 /dev/pts/25: \033[31m
1715353443.897664 /dev/pts/25: \033[1m
1715353443.897668 /dev/pts/25: /_/    \\___//_/ /_//____/ \\____//_/    /_/      /_/  \\____/____/|__/
1715353443.897671 tty_draw_line: trimmed 57 spaces
1715353443.897673 /dev/pts/25: \033(B\033[m
1715353443.897676 tty_clear_line: 183 at 68,5
1715353443.897678 /dev/pts/25: \033[K
1715353443.897681 tty_clear_line: 251 at 0,6
1715353443.897683 /dev/pts/25: \r
1715353443.897686 /dev/pts/25: \n
1715353443.897688 /dev/pts/25: \033[K
1715353443.897691 tty_clear_line: 251 at 0,7
1715353443.897693 /dev/pts/25: \r
1715353443.897695 /dev/pts/25: \n
1715353443.897698 /dev/pts/25: \033[K
1715353443.897700 tty_clear_line: 251 at 0,8
1715353443.897703 /dev/pts/25: \r
1715353443.897705 /dev/pts/25: \n
1715353443.897707 /dev/pts/25: \033[K
1715353443.897710 tty_clear_line: 251 at 0,9
1715353443.897712 /dev/pts/25: \r
1715353443.897714 /dev/pts/25: \n
1715353443.897717 /dev/pts/25: \033[K
1715353443.897719 tty_clear_line: 251 at 0,10
1715353443.897722 /dev/pts/25: \r
1715353443.897724 /dev/pts/25: \n
1715353443.897727 /dev/pts/25: \033[K
1715353443.897730 tty_clear_line: 251 at 0,11
1715353443.897732 /dev/pts/25: \r
1715353443.897734 /dev/pts/25: \n
1715353443.897736 /dev/pts/25: \033[K
1715353443.897739 tty_clear_line: 251 at 0,12
1715353443.897741 /dev/pts/25: \r
1715353443.897744 /dev/pts/25: \n
1715353443.897746 /dev/pts/25: \033[K
1715353443.897749 tty_clear_line: 251 at 0,13
1715353443.897751 /dev/pts/25: \r
1715353443.897753 /dev/pts/25: \n
1715353443.897755 /dev/pts/25: \033[K
1715353443.897758 tty_clear_line: 251 at 0,14
1715353443.897761 /dev/pts/25: \r
1715353443.897764 /dev/pts/25: \n
1715353443.897766 /dev/pts/25: \033[K
1715353443.897773 tty_clear_line: 251 at 0,15
1715353443.897775 /dev/pts/25: \r
1715353443.897778 /dev/pts/25: \n
1715353443.897780 /dev/pts/25: \033[K
1715353443.897782 tty_clear_line: 251 at 0,16
1715353443.897785 /dev/pts/25: \r
1715353443.897787 /dev/pts/25: \n
1715353443.897790 /dev/pts/25: \033[K
1715353443.897792 tty_clear_line: 251 at 0,17
1715353443.897794 /dev/pts/25: \r
1715353443.897797 /dev/pts/25: \n
1715353443.897799 /dev/pts/25: \033[K
1715353443.897801 tty_clear_line: 251 at 0,18
1715353443.897804 /dev/pts/25: \r
1715353443.897806 /dev/pts/25: \n
1715353443.897809 /dev/pts/25: \033[K
1715353443.897811 tty_clear_line: 251 at 0,19
1715353443.897813 /dev/pts/25: \r
1715353443.897816 /dev/pts/25: \n
1715353443.897818 /dev/pts/25: \033[K
1715353443.897820 tty_clear_line: 251 at 0,20
1715353443.897823 /dev/pts/25: \r
1715353443.897825 /dev/pts/25: \n
1715353443.897828 /dev/pts/25: \033[K
1715353443.897830 /dev/pts/25: \r
1715353443.897832 /dev/pts/25: \n
1715353443.897839 /dev/pts/25: \033[30m
1715353443.898494 /dev/pts/25: \033[42m
1715353443.898511 /dev/pts/25: [0] 0:bash*                                                                                                                                                                                                                  "4f8a8e02f8db" 15:04 10-May-24
1715353443.898515 /dev/pts/25: \033(B\033[m
1715353443.898518 /dev/pts/25: redraw added 804 bytes
1715353443.898521 /dev/pts/25: \033[9;1H
1715353443.898524 /dev/pts/25: \033[?12l\033[?25h
1715353443.898527 @0 active pane changed
1715353443.898530 @0 name timer queued (497810 left)
1715353443.898541 /dev/pts/25: wrote 822 bytes (of 822)
1715353443.898544 /dev/pts/25: waiting for redraw, 0 bytes left
1715353443.898547 cmdq_next <global>: empty
1715353443.898550 cmdq_next <0x564c020cee30>: empty
1715353443.898553 @0 active pane changed
1715353443.898556 @0 name timer already queued (497784 left)
1715353443.900625 %0 has 148 bytes
1715353443.900643 @0 alerts timer reset 0
1715353443.900649 screen_write_start: size 251x21, pane %0
1715353443.900655 input_parse: %0 ground, 148 bytes: You are running this container as user with ID 1000 and group 1000,\r\nwhich should map to the ID and group for your user on the Docker host. Great!\r\n
1715353443.900662 screen_write_collect_end: 67 You are running this container as user with ID 1000 and group 1000, (at 0,8)
1715353443.900667 input_c0_dispatch: '\r'
1715353443.900670 input_c0_dispatch: '\n'
1715353443.900673 screen_write_linefeed: at 0,8 (region 0-20)
1715353443.900679 screen_write_collect_end: 77 which should map to the ID and group for your user on the Docker host. Great! (at 0,9)
1715353443.900683 input_c0_dispatch: '\r'
1715353443.900685 input_c0_dispatch: '\n'
1715353443.901322 screen_write_linefeed: at 0,9 (region 0-20)
1715353443.902138 /dev/pts/25: \033[33m
1715353443.902752 /dev/pts/25: You are running this container as user with ID 1000 and group 1000,
1715353443.902757 /dev/pts/25: \r
1715353443.902759 /dev/pts/25: \n
1715353443.902763 /dev/pts/25: which should map to the ID and group for your user on the Docker host. Great!
1715353443.902766 screen_write_collect_flush: flushed 2 items (144 bytes)
1715353443.902770 screen_write_stop: 144 cells (144 written, 0 skipped)
1715353443.902774 cmdq_next <global>: empty
1715353443.902777 cmdq_next <0x564c020cee30>: empty
1715353443.902781 /dev/pts/25: \r
1715353443.902783 /dev/pts/25: \n
1715353443.902786 /dev/pts/25: \033(B\033[m
1715353443.902790 @0 active pane changed
1715353443.902793 @0 name timer already queued (493547 left)
1715353443.902801 %0 has 5 bytes
1715353443.902804 @0 alerts timer reset 0
1715353443.902808 screen_write_start: size 251x21, pane %0
1715353443.902811 input_parse: %0 ground, 5 bytes: \033[m\r\n
1715353443.902815 input_csi_dispatch: 'm' "" ""
1715353443.902818 input_c0_dispatch: '\r'
1715353443.902820 input_c0_dispatch: '\n'
1715353443.902823 screen_write_linefeed: at 0,10 (region 0-20)
1715353443.902827 screen_write_collect_flush: flushed 0 items (0 bytes)
1715353443.902830 screen_write_stop: 0 cells (0 written, 0 skipped)
1715353443.902840 /dev/pts/25: wrote 159 bytes (of 159)
1715353443.902843 cmdq_next <global>: empty
1715353443.902846 cmdq_next <0x564c020cee30>: empty
1715353443.902849 /dev/pts/25: \r
1715353443.902852 /dev/pts/25: \n
1715353443.902855 @0 active pane changed
1715353443.902858 @0 name timer already queued (493482 left)
1715353443.902865 /dev/pts/25: wrote 2 bytes (of 2)
1715353443.902868 cmdq_next <global>: empty
1715353443.902871 cmdq_next <0x564c020cee30>: empty
1715353443.902873 @0 active pane changed
1715353443.902876 @0 name timer already queued (493463 left)
1715353443.968832 /dev/pts/25: read 7 bytes (already 0)
1715353443.968866 /dev/pts/25: keys are 7 (\033[?1;2c)
1715353443.968873 /dev/pts/25: received DA \033[?1;2c (VT100)
1715353443.968878 /dev/pts/25: complete key \033[?1;2c 0xfffe00000000
1715353443.968883 cmdq_next <global>: empty
1715353443.968887 cmdq_next <0x564c020cee30>: empty
1715353443.968897 @0 active pane changed
1715353443.968901 @0 name timer already queued (427440 left)
1715353444.163899 %0 has 137 bytes
1715353444.163937 @0 alerts timer reset 0
1715353444.163947 screen_write_start: size 251x21, pane %0
1715353444.163956 input_parse: %0 ground, 137 bytes: (base) \033]0;irteam@4f8a8e02f8db: ~/rkdtjdals97-dcloud-dir/MBC\a\033[01;32mirteam@4f8a8e02f8db\033[00m:\033[01;34m~/rkdtjdals97-dcloud-dir/MBC\033[00m$ 
1715353444.163962 screen_write_collect_end: 7 (base)  (at 0,11)
1715353444.163967 input_enter_osc
1715353444.163975 input_exit_osc: "0;irteam@4f8a8e02f8db: ~/rkdtjdals97-dcloud-dir/MBC"
1715353444.163983 input_csi_dispatch: 'm' "" "01;32"
1715353444.163990 screen_write_collect_end: 19 irteam@4f8a8e02f8db (at 7,11)
1715353444.163994 input_csi_dispatch: 'm' "" "00"
1715353444.163998 screen_write_collect_end: 1 : (at 26,11)
1715353444.164001 input_csi_dispatch: 'm' "" "01;34"
1715353444.164011 screen_write_collect_end: 28 ~/rkdtjdals97-dcloud-dir/MBC (at 27,11)
1715353444.164015 input_csi_dispatch: 'm' "" "00"
1715353444.164818 screen_write_collect_end: 2 $  (at 55,11)
1715353444.164826 /dev/pts/25: (base) 
1715353444.164834 /dev/pts/25: \033[32m
1715353444.164837 /dev/pts/25: \033[1m
1715353444.164840 /dev/pts/25: irteam@4f8a8e02f8db
1715353444.164842 /dev/pts/25: \033(B\033[m
1715353444.164845 /dev/pts/25: :
1715353444.164849 /dev/pts/25: \033[34m
1715353444.164851 /dev/pts/25: \033[1m
1715353444.164854 /dev/pts/25: ~/rkdtjdals97-dcloud-dir/MBC
1715353444.164857 /dev/pts/25: \033(B\033[m
1715353444.164860 /dev/pts/25: $ 
1715353444.164863 screen_write_collect_flush: flushed 5 items (57 bytes)
1715353444.164867 screen_write_stop: 57 cells (57 written, 0 skipped)
1715353444.164880 cmdq_next <global>: empty
1715353444.164883 cmdq_next <0x564c020cee30>: empty
1715353444.164891 screen_write_start: size 251x1, no pane
1715353444.164907 screen_write_collect_flush: flushed 0 items (0 bytes)
1715353444.164910 screen_write_stop: 251 cells (251 written, 0 skipped)
1715353444.165004 format '[#S] ' -> '[0] '
1715353444.165019 unref client 0x564c020cee30 (2 references)
1715353444.165081 format ' "#{=21:pane_title}" 15:04 10-May-24' -> ' "irteam@4f8a8e02f8db: " 15:04 10-May-24'
1715353444.165091 unref client 0x564c020cee30 (2 references)
1715353444.165137 format '#{window_flags}' -> '*'
1715353444.165141 format '#I:#W#{?window_flags,#{window_flags}, }' -> '0:bash*'
1715353444.165150 unref client 0x564c020cee30 (2 references)
1715353444.165156 screen_write_start: size 8x1, no pane
1715353444.165161 screen_write_collect_flush: flushed 0 items (0 bytes)
1715353444.165164 screen_write_stop: 8 cells (8 written, 0 skipped)
1715353444.165175 screen_write_start: size 251x1, no pane
1715353444.165182 screen_write_collect_flush: flushed 0 items (0 bytes)
1715353444.165185 screen_write_stop: 52 cells (46 written, 6 skipped)
1715353444.165193 /dev/pts/25: \033[?25l
1715353444.165198 /dev/pts/25: \033[22;1H
1715353444.165206 /dev/pts/25: \033[30m
1715353444.165210 /dev/pts/25: \033[42m
1715353444.165216 /dev/pts/25: [0] 0:bash*                                                                                                                                                                                                         "irteam@4f8a8e02f8db: " 15:04 10-May-24
1715353444.165224 /dev/pts/25: \033(B\033[m
1715353444.165228 /dev/pts/25: \033[12;58H
1715353444.165231 /dev/pts/25: \033[?12l\033[?25h
1715353444.165235 @0 active pane changed
1715353444.165238 @0 name timer already queued (231103 left)
1715353444.165256 /dev/pts/25: wrote 387 bytes (of 387)
1715353444.165259 cmdq_next <global>: empty
1715353444.165263 cmdq_next <0x564c020cee30>: empty
1715353444.165266 @0 active pane changed
1715353444.165269 @0 name timer already queued (231071 left)
1715353444.397650 @0 name timer expired
1715353444.397702 cmdq_next <global>: empty
1715353444.397714 cmdq_next <0x564c020cee30>: empty
1715353444.397729 @0 active pane changed
1715353444.397861 format '#{pane_current_command}' -> 'bash'
1715353444.397868 format '' -> ''
1715353444.398704 format '#{?pane_in_mode,[tmux],#{pane_current_command}}#{?pane_dead,[dead],}' -> 'bash'
1715353444.398729 @0 name not changed (still bash)
1715353450.300958 /dev/pts/25: read 1 bytes (already 0)
1715353450.301609 /dev/pts/25: keys are 1 (\032)
1715353450.301617 /dev/pts/25: next key is 1 (\032) (expired=0)
1715353450.301622 /dev/pts/25: complete key \032 0x1a
1715353450.301628 session 0 activity 1715353450.301625 (last 1715353443.894107)
1715353450.301635 cmd_find_from_session: s=$0
1715353450.301638 cmd_find_from_session: wl=0 1 w=@0 bash
1715353450.301641 cmd_find_from_session: wp=%0
1715353450.301643 cmd_find_from_session: idx=none
